,NS,surface_total_in_m2,rooms,price
47901,34,121.0,4.0,199000.0
47902,10,135.0,4.0,220000.0
47903,9,78.0,3.0,175000.0
47904,9,201.0,5.0,450000.0
47906,58,166.0,4.0,399500.0
47935,49,53.0,2.0,175000.0
47940,54,343.0,5.0,1890000.0
47941,51,343.0,5.0,1890000.0
47942,53,163.0,4.0,540000.0
47943,53,273.0,5.0,750000.0
47944,5,447.0,7.0,470000.0
47988,28,40.0,1.0,90000.0
47989,54,50.0,2.0,189000.0
48002,12,225.0,4.0,168000.0
48026,54,86.0,4.0,299000.0
48027,22,79.0,4.0,150000.0
48028,22,35.0,1.0,58000.0
48099,26,90.0,3.0,120000.0
48100,32,191.0,6.0,275000.0
48101,53,113.0,4.0,305000.0
48102,32,127.0,6.0,249000.0
48103,26,89.0,2.0,180000.0
48104,26,36.0,1.0,115000.0
48105,46,48.0,2.0,124000.0
48125,24,48.0,2.0,89000.0
48159,53,334.0,4.0,530000.0
48160,53,350.0,4.0,350000.0
48165,34,39.0,2.0,83000.0
48208,56,284.0,8.0,665000.0
48210,27,96.0,3.0,200000.0
48213,53,76.0,3.0,290000.0
48214,58,33.0,1.0,110000.0
48215,58,33.0,1.0,115000.0
48216,12,54.0,3.0,118000.0
48221,54,140.0,5.0,339000.0
48223,46,110.0,4.0,385000.0
48240,51,42.0,2.0,159000.0
48241,51,37.0,1.0,142000.0
48282,34,39.0,2.0,83000.0
48295,39,65.0,3.0,141999.0
48300,46,65.0,2.0,190000.0
48308,12,45.0,2.0,121000.0
48309,12,45.0,2.0,111000.0
48310,12,45.0,2.0,121000.0
48311,12,45.0,2.0,120000.0
48327,23,130.0,5.0,240000.0
48333,60,95.0,2.0,510000.0
48369,54,201.0,5.0,589000.0
48375,56,123.0,4.0,430000.0
48384,39,42.0,1.0,1825023.0
48388,56,125.0,5.0,358000.0
48389,39,24.0,1.0,1192245.0
48390,39,39.0,1.0,1639819.0
48394,34,45.0,1.0,125000.0
48397,51,42.0,2.0,159000.0
48398,51,38.0,1.0,142000.0
48403,55,50.0,3.0,175000.0
48418,41,39.0,3.0,120000.0
48419,46,260.0,5.0,399000.0
48442,32,55.0,2.0,124000.0
48476,32,104.0,4.0,198000.0
48485,20,76.0,3.0,150000.0
48570,7,500.0,6.0,600000.0
48572,19,65.0,3.0,114500.0
48573,15,75.0,3.0,155000.0
48576,53,332.0,5.0,1470000.0
48582,9,90.0,3.0,175000.0
48618,58,48.0,1.0,135000.0
48647,20,62.0,3.0,126000.0
48648,9,74.0,3.0,116000.0
48649,59,71.0,2.0,340000.0
48650,3,42.0,2.0,73000.0
48651,16,32.0,2.0,64900.0
48654,46,60.0,2.0,161000.0
48657,34,39.0,2.0,94102.0
48658,34,40.0,2.0,87000.0
48659,34,39.0,2.0,85674.0
48660,34,19.0,2.0,84102.0
48661,51,42.0,2.0,97000.0
48662,53,40.0,1.0,132000.0
48663,53,34.0,1.0,103000.0
48664,56,42.0,1.0,112000.0
48672,54,27.0,1.0,105000.0
48676,53,100.0,2.0,255000.0
48691,54,32.0,2.0,98000.0
48697,12,91.0,4.0,250000.0
48698,36,50.0,2.0,48500.0
48715,54,60.0,2.0,120000.0
48720,27,36.0,1.0,83300.0
48760,53,185.0,4.0,420000.0
48763,51,200.0,5.0,615000.0
48767,54,51.0,2.0,260000.0
48770,56,145.0,4.0,722245.0
48771,56,139.0,4.0,698145.0
48778,34,37.0,1.0,95000.0
48779,34,37.0,1.0,95000.0
48782,10,75.0,2.0,205000.0
48789,53,100.0,2.0,255000.0
48791,39,40.0,2.0,98000.0
48792,53,38.0,2.0,89900.0
48793,15,45.0,2.0,120000.0
48839,26,91.0,4.0,195000.0
48883,56,102.0,4.0,289000.0
48891,56,42.0,1.0,122000.0
48892,53,144.0,4.0,440000.0
48893,56,53.0,2.0,115000.0
48894,45,149.0,5.0,220000.0
48895,56,64.0,1.0,120000.0
48899,53,341.0,4.0,490000.0
48901,12,284.0,4.0,600000.0
48902,25,101.0,3.0,158000.0
48906,52,82.0,3.0,435000.0
48907,52,53.0,2.0,250000.0
48908,52,82.0,3.0,435000.0
48909,51,124.0,3.0,240000.0
48910,54,124.0,3.0,240000.0
48942,35,112.0,3.0,188000.0
48959,13,115.0,3.0,240000.0
49015,53,115.0,3.0,335000.0
49018,56,147.0,4.0,345000.0
49019,52,81.0,3.0,182000.0
49020,54,90.0,3.0,250000.0
49022,55,90.0,3.0,230000.0
49024,34,38.0,2.0,75000.0
49046,53,125.0,4.0,359900.0
49098,53,200.0,5.0,1280000.0
49101,54,33.0,1.0,99000.0
49109,20,46.0,1.0,99208.0
49113,53,282.0,5.0,1400000.0
49116,20,354.0,6.0,395000.0
49123,56,270.0,7.0,1900000.0
49124,56,167.0,4.0,1067531.0
49125,12,85.0,3.0,145000.0
49131,19,96.0,3.0,179500.0
49132,39,150.0,4.0,300000.0
49134,30,50.0,2.0,85000.0
49135,10,32.0,2.0,76000.0
49137,53,115.0,3.0,335000.0
49139,32,130.0,4.0,290000.0
49140,19,137.0,7.0,180000.0
49141,56,36.0,1.0,110000.0
49164,35,193.0,4.0,280000.0
49165,20,287.0,6.0,395000.0
49166,58,37.0,1.0,126323.0
49167,58,52.0,2.0,170082.0
49168,58,79.0,3.0,322668.0
49169,58,114.0,4.0,418545.0
49185,15,38.0,2.0,58000.0
49215,53,19.0,1.0,110000.0
49221,51,180.0,4.0,299000.0
49242,54,89.0,3.0,270000.0
49256,53,79.0,3.0,245000.0
49257,54,180.0,4.0,680000.0
49258,53,56.0,2.0,183000.0
49259,51,164.0,4.0,1200000.0
49260,53,125.0,4.0,625000.0
49263,39,176.0,6.0,418000.0
49267,11,71.0,2.0,109000.0
49269,48,49.0,1.0,131355.0
49270,48,49.0,1.0,135355.0
49271,48,79.0,2.0,215000.0
49272,48,79.0,2.0,225000.0
49274,48,49.0,1.0,133000.0
49275,48,50.0,1.0,147000.0
49276,48,73.0,2.0,198000.0
49278,53,114.0,4.0,575000.0
49293,23,150.0,4.0,189000.0
49310,32,38.0,1.0,85000.0
49325,15,57.0,2.0,89000.0
49337,53,247.0,4.0,890000.0
49338,56,191.0,5.0,580000.0
49399,56,554.0,8.0,1380000.0
49401,54,83.0,3.0,240000.0
49408,39,53.0,2.0,208000.0
49559,41,28.0,2.0,98703.0
49561,46,137.0,4.0,310000.0
49623,41,28.0,2.0,97790.0
49624,41,39.0,1.0,99352.0
49625,41,39.0,1.0,102973.0
49627,46,31.0,1.0,104700.0
49658,59,192.0,4.0,780000.0
49774,54,42.0,2.0,98700.0
49775,2,142.0,4.0,126000.0
49777,51,245.0,5.0,650000.0
49779,53,295.0,5.0,1200000.0
49782,39,83.0,3.0,304000.0
49789,6,95.0,4.0,270000.0
49791,54,36.0,2.0,110000.0
49792,35,57.0,3.0,130000.0
49794,56,142.0,4.0,714924.0
49795,27,36.0,2.0,95000.0
49801,46,90.0,3.0,275000.0
49802,9,50.0,2.0,108000.0
49809,32,39.0,1.0,85000.0
49828,37,30.0,2.0,140000.0
49829,26,395.0,4.0,495000.0
49831,44,130.0,4.0,230000.0
49832,44,226.0,1.0,285000.0
49835,12,53.0,1.0,118000.0
49837,39,50.0,2.0,89500.0
49838,35,120.0,6.0,135000.0
49843,37,41.0,1.0,90000.0
49847,27,75.0,3.0,135000.0
49849,12,53.0,1.0,118000.0
49902,54,251.0,5.0,1100000.0
49911,35,433.0,6.0,295000.0
49945,27,56.0,2.0,170000.0
49988,49,215.0,4.0,1650000.0
50013,39,94.0,4.0,228000.0
50014,34,140.0,4.0,269000.0
50017,9,31.0,1.0,69500.0
50027,54,136.0,4.0,830000.0
50029,45,100.0,3.0,400000.0
50030,59,25.0,1.0,82500.0
50031,51,229.0,5.0,650000.0
50034,54,25.0,1.0,82500.0
50035,57,25.0,1.0,82500.0
50041,53,402.0,6.0,797000.0
50043,54,59.0,2.0,169000.0
50046,51,297.0,8.0,750000.0
50048,53,50.0,3.0,148000.0
50056,48,43.0,1.0,150000.0
50057,60,70.0,2.0,330000.0
50059,54,175.0,2.0,720000.0
50068,59,175.0,2.0,720000.0
50069,58,175.0,2.0,720000.0
50070,57,175.0,2.0,720000.0
50071,52,175.0,2.0,720000.0
50072,55,175.0,2.0,720000.0
50074,55,233.0,5.0,890000.0
50081,53,460.0,5.0,1400000.0
50082,13,45.0,2.0,120000.0
50083,53,98.0,2.0,335000.0
50085,51,50.0,2.0,295000.0
50086,20,25.0,1.0,55000.0
50088,51,43.0,1.0,245000.0
50090,59,34.0,1.0,155000.0
50091,56,78.0,3.0,249442.0
50095,58,175.0,3.0,720000.0
50096,52,175.0,3.0,720000.0
50099,23,159.0,3.0,85000.0
50109,53,120.0,4.0,324000.0
50110,53,125.0,4.0,340000.0
50111,39,120.0,4.0,348000.0
50112,53,120.0,4.0,350000.0
50113,54,53.0,2.0,165000.0
50115,53,97.0,3.0,277900.0
50116,56,240.0,4.0,890000.0
50117,20,35.0,1.0,81300.0
50118,20,35.0,1.0,84500.0
50119,20,32.0,1.0,86600.0
50120,20,30.0,1.0,82500.0
50121,20,36.0,1.0,89900.0
50122,20,33.0,1.0,90700.0
50123,20,35.0,1.0,79700.0
50125,51,31.0,1.0,95000.0
50138,53,45.0,1.0,127470.0
50139,51,50.0,2.0,300000.0
50141,51,109.0,4.0,750000.0
50144,53,51.0,2.0,191675.0
50145,51,80.0,3.0,450000.0
50146,53,57.0,2.0,199420.0
50147,53,48.0,1.0,156300.0
50148,53,42.0,1.0,162550.0
50149,53,41.0,1.0,169060.0
50151,51,70.0,3.0,190000.0
50203,9,140.0,3.0,229000.0
50218,10,72.0,3.0,140000.0
50255,21,170.0,4.0,260000.0
50259,45,130.0,3.0,300000.0
50262,35,34.0,1.0,88000.0
50279,53,403.0,5.0,750000.0
50280,53,403.0,4.0,750000.0
50281,53,403.0,5.0,750000.0
50296,32,104.0,4.0,198000.0
50308,23,35.0,1.0,105000.0
50309,41,71.0,4.0,170000.0
50310,48,71.0,4.0,170000.0
50311,54,71.0,4.0,170000.0
50322,45,344.0,6.0,750000.0
50344,39,200.0,3.0,345000.0
50348,32,24.0,1.0,62000.0
50349,39,92.0,3.0,240000.0
50350,39,61.0,3.0,180000.0
50357,53,128.0,4.0,260000.0
50368,53,360.0,6.0,575000.0
50370,54,250.0,4.0,780000.0
50371,30,43.0,1.0,92000.0
50372,23,251.0,4.0,209000.0
50373,12,26.0,1.0,67000.0
50410,12,610.0,7.0,580000.0
50416,32,98.0,3.0,217900.0
50417,32,57.0,1.0,102900.0
50418,51,40.0,2.0,120000.0
50419,52,165.0,4.0,289000.0
50557,48,53.0,1.0,132000.0
50558,48,45.0,2.0,133000.0
50559,9,115.0,3.0,135000.0
50560,12,117.0,4.0,159000.0
50565,51,200.0,5.0,540000.0
50566,53,413.0,6.0,880000.0
50574,27,104.0,4.0,243000.0
50575,16,110.0,2.0,149800.0
50580,30,263.0,6.0,270000.0
50610,53,90.0,2.0,390000.0
50612,49,450.0,6.0,890000.0
50613,56,153.0,4.0,448000.0
50692,32,92.0,4.0,215000.0
50700,56,174.0,4.0,820000.0
50702,19,80.0,3.0,115000.0
50703,44,43.0,1.0,115000.0
50707,51,33.0,1.0,84900.0
50711,60,200.0,4.0,1190000.0
50712,60,200.0,4.0,1190000.0
50713,60,200.0,4.0,1190000.0
50714,56,174.0,4.0,820000.0
50715,52,174.0,4.0,820000.0
50716,58,174.0,4.0,820000.0
50717,54,174.0,4.0,820000.0
50718,57,174.0,4.0,820000.0
50723,53,265.0,5.0,890000.0
50724,46,118.0,4.0,249500.0
50725,32,70.0,4.0,175000.0
50732,55,150.0,4.0,800000.0
50734,26,103.0,3.0,203000.0
50735,29,199.0,3.0,160000.0
50738,48,89.0,4.0,214900.0
50760,7,81.0,2.0,112000.0
50778,37,28.0,1.0,85000.0
50791,39,90.0,4.0,215000.0
50830,56,271.0,5.0,890000.0
50852,50,117.0,4.0,310000.0
50854,56,213.0,5.0,550000.0
50858,56,102.0,3.0,415000.0
50859,56,325.0,4.0,1100000.0
50863,53,374.0,6.0,698000.0
50865,56,474.0,5.0,1250000.0
50877,54,309.0,5.0,620000.0
50890,53,224.0,4.0,860000.0
50894,56,268.0,6.0,890000.0
50897,51,201.0,5.0,380000.0
50899,46,60.0,2.0,161000.0
50900,46,60.0,2.0,168000.0
50910,15,35.0,1.0,89000.0
50917,56,127.0,2.0,290000.0
50938,36,82.0,4.0,130000.0
50946,19,82.0,4.0,169900.0
50954,33,242.0,6.0,380000.0
50957,32,91.0,4.0,232500.0
50984,56,114.0,3.0,350000.0
50992,60,255.0,5.0,2350000.0
50999,13,60.0,3.0,89000.0
51033,56,149.0,3.0,695000.0
51038,56,75.0,1.0,250000.0
51039,56,75.0,1.0,245000.0
51040,56,43.0,1.0,155000.0
51052,56,136.0,4.0,345000.0
51055,53,179.0,4.0,475000.0
51057,56,144.0,4.0,460000.0
51064,34,65.0,3.0,138000.0
51065,32,105.0,4.0,179000.0
51066,22,60.0,3.0,112000.0
51068,32,50.0,3.0,110000.0
51073,9,42.0,2.0,79500.0
51085,10,75.0,4.0,180000.0
51088,41,30.0,1.0,86000.0
51090,56,192.0,4.0,365000.0
51091,51,192.0,4.0,365000.0
51092,53,265.0,5.0,890000.0
51093,53,265.0,5.0,890000.0
51098,20,45.0,2.0,180000.0
51100,20,25.0,1.0,77722.0
51108,8,45.0,2.0,160000.0
51115,12,141.0,4.0,225000.0
51141,41,58.0,4.0,50000.0
51142,39,105.0,3.0,230600.0
51143,39,104.0,3.0,210000.0
51145,27,36.0,1.0,83300.0
51147,53,67.0,3.0,194000.0
51192,13,106.0,4.0,220000.0
51205,27,27.0,1.0,78000.0
51206,27,37.0,1.0,88000.0
51207,27,37.0,1.0,88000.0
51208,27,37.0,1.0,88000.0
51228,39,113.0,3.0,270000.0
51229,39,88.0,2.0,238100.0
51230,39,88.0,3.0,245000.0
51232,46,39.0,1.0,99000.0
51233,46,41.0,1.0,99900.0
51268,23,344.0,4.0,250000.0
51282,54,227.0,5.0,1200000.0
51283,56,198.0,5.0,598000.0
51284,54,78.0,3.0,430000.0
51286,2,84.0,3.0,120000.0
51303,60,97.0,2.0,785000.0
51304,10,131.0,3.0,205000.0
51307,60,53.0,2.0,350000.0
51308,60,176.0,3.0,890000.0
51309,60,230.0,4.0,1800000.0
51310,56,103.0,4.0,298000.0
51311,56,104.0,3.0,280000.0
51318,56,106.0,2.0,220000.0
51320,51,106.0,2.0,220000.0
51326,51,31.0,1.0,95000.0
51327,35,80.0,2.0,135000.0
51329,23,36.0,2.0,77000.0
51337,53,45.0,1.0,128000.0
51363,15,79.0,3.0,112000.0
51388,56,160.0,4.0,348000.0
51389,39,68.0,3.0,209900.0
51416,56,240.0,8.0,980000.0
51418,51,336.0,5.0,1100000.0
51430,29,175.0,6.0,245000.0
51433,53,557.0,8.0,1200000.0
51439,54,130.0,5.0,410000.0
51440,59,67.0,3.0,530000.0
51451,24,50.0,2.0,110000.0
51452,39,53.0,2.0,140000.0
51455,30,55.0,3.0,95000.0
51457,24,64.0,4.0,120000.0
51475,46,175.0,5.0,300000.0
51482,41,135.0,5.0,350000.0
51484,52,90.0,4.0,217000.0
51487,39,44.0,1.0,116800.0
51506,23,106.0,3.0,135000.0
51516,9,68.0,4.0,128000.0
51517,60,215.0,4.0,1490000.0
51520,9,63.0,3.0,110000.0
51525,49,320.0,5.0,2490000.0
51538,11,46.0,2.0,94000.0
51539,11,46.0,2.0,92000.0
51540,11,46.0,2.0,88000.0
51541,11,46.0,2.0,90000.0
51558,55,47.0,2.0,109000.0
51560,32,76.0,2.0,140000.0
51572,35,68.0,3.0,230000.0
51601,37,80.0,3.0,80000.0
51616,44,52.0,2.0,133000.0
51668,54,155.0,4.0,750000.0
51669,34,117.0,4.0,265000.0
51671,60,212.0,4.0,1300000.0
51674,51,240.0,4.0,780000.0
51675,60,130.0,4.0,750000.0
51677,44,25.0,1.0,1479517.0
51679,44,33.0,1.0,2042042.0
51692,55,130.0,5.0,700000.0
51712,46,98.0,3.0,326000.0
51719,54,66.0,1.0,240000.0
51720,9,85.0,4.0,128000.0
51724,24,46.0,2.0,79000.0
51740,56,56.0,2.0,130000.0
51741,54,38.0,1.0,102100.0
51745,13,105.0,4.0,160000.0
51793,20,30.0,1.0,78190.0
51794,20,39.0,1.0,92910.0
51819,12,44.0,2.0,92000.0
51823,60,131.0,3.0,760000.0
51829,60,102.0,3.0,570000.0
51830,51,75.0,2.0,227850.0
51840,54,29.0,2.0,98000.0
51849,53,42.0,2.0,105000.0
51850,47,213.0,2.0,220000.0
51851,48,38.0,2.0,89000.0
51852,46,39.0,1.0,97000.0
51863,34,78.0,1.0,140000.0
51865,48,66.0,3.0,155000.0
51867,2,145.0,4.0,350000.0
51897,2,44.0,2.0,71000.0
51903,54,59.0,2.0,173500.0
51904,46,195.0,4.0,360000.0
51915,32,50.0,2.0,112700.0
51916,54,51.0,2.0,116165.0
51952,2,50.0,3.0,47000.0
51970,53,37.0,2.0,105000.0
51989,16,420.0,1.0,350000.0
51995,6,114.0,4.0,200000.0
52000,15,135.0,4.0,330000.0
52001,6,150.0,4.0,170000.0
52010,53,126.0,5.0,295000.0
52015,13,94.0,4.0,200000.0
52036,39,80.0,3.0,271200.0
52037,39,50.0,2.0,140000.0
52038,53,41.0,1.0,168000.0
52043,30,53.0,3.0,118000.0
52044,53,166.0,4.0,398000.0
52051,53,65.0,3.0,195000.0
52052,49,159.0,4.0,248000.0
52053,49,159.0,3.0,248000.0
52063,58,62.0,4.0,174000.0
52064,58,62.0,4.0,174000.0
52074,39,182.0,4.0,340000.0
52075,36,142.0,6.0,111000.0
52076,53,32.0,1.0,99000.0
52078,40,121.0,4.0,320000.0
52079,45,121.0,4.0,320000.0
52082,51,63.0,2.0,130000.0
52083,9,107.0,3.0,265000.0
52084,9,107.0,4.0,240000.0
52085,10,51.0,2.0,110000.0
52086,32,34.0,2.0,72000.0
52087,13,213.0,7.0,400000.0
52088,35,174.0,4.0,340000.0
52089,41,39.0,1.0,83000.0
52090,41,61.0,1.0,100000.0
52091,41,37.0,1.0,84500.0
52092,41,36.0,1.0,87500.0
52093,41,37.0,1.0,86000.0
52094,41,37.0,1.0,87500.0
52095,41,36.0,1.0,84500.0
52096,41,37.0,1.0,88250.0
52097,41,37.0,1.0,89000.0
52098,41,36.0,1.0,89000.0
52099,41,37.0,1.0,90500.0
52100,41,65.0,1.0,100000.0
52101,53,63.0,3.0,219000.0
52102,55,224.0,5.0,810000.0
52103,55,224.0,5.0,810000.0
52107,56,105.0,3.0,280000.0
52121,44,195.0,4.0,425000.0
52122,44,82.0,2.0,198000.0
52123,44,63.0,2.0,172000.0
52124,44,35.0,1.0,117000.0
52126,44,92.0,2.0,233000.0
52127,44,81.0,3.0,228000.0
52128,44,41.0,1.0,111000.0
52138,16,67.0,3.0,124500.0
52151,58,50.0,2.0,152000.0
52152,9,35.0,2.0,75000.0
52195,10,38.0,2.0,75000.0
52226,45,39.0,1.0,1547283.0
52229,34,38.0,1.0,82000.0
52245,9,76.0,3.0,135000.0
52318,60,171.0,3.0,1100000.0
52322,60,76.0,2.0,543600.0
52323,60,193.0,4.0,1550000.0
52328,60,92.0,2.0,455000.0
52331,60,127.0,3.0,890000.0
52333,60,129.0,3.0,670000.0
52336,60,129.0,3.0,670000.0
52337,60,127.0,3.0,890000.0
52342,53,43.0,1.0,120000.0
52347,53,86.0,3.0,220000.0
52349,59,254.0,4.0,695000.0
52350,12,47.0,2.0,127000.0
52353,53,233.0,7.0,620000.0
52355,6,38.0,2.0,68000.0
52356,20,48.0,2.0,145000.0
52358,34,89.0,3.0,180000.0
52359,45,32.0,1.0,85000.0
52365,46,172.0,5.0,215000.0
52368,47,70.0,3.0,190000.0
52369,33,37.0,2.0,103000.0
52370,53,182.0,4.0,600000.0
52376,60,252.0,4.0,1450000.0
52378,60,184.0,3.0,1100000.0
52380,60,214.0,4.0,1250000.0
52381,55,35.0,1.0,120000.0
52383,60,214.0,4.0,1300000.0
52384,32,85.0,3.0,164900.0
52392,20,53.0,2.0,119780.0
52395,45,53.0,2.0,130000.0
52397,9,158.0,7.0,265000.0
52398,19,158.0,7.0,265000.0
52402,51,113.0,3.0,405000.0
52408,56,131.0,4.0,275000.0
52411,35,35.0,1.0,72900.0
52412,6,80.0,3.0,159000.0
52414,11,49.0,1.0,113000.0
52415,32,30.0,1.0,72000.0
52421,53,31.0,1.0,98000.0
52427,13,38.0,2.0,69000.0
52430,46,50.0,2.0,140000.0
52432,39,50.0,2.0,87500.0
52438,12,53.0,1.0,118000.0
52455,53,182.0,4.0,600000.0
52504,16,360.0,8.0,395000.0
52506,53,122.0,4.0,494729.0
52507,53,122.0,4.0,524928.0
52508,53,131.0,4.0,468614.0
52509,53,172.0,4.0,596830.0
52510,53,37.0,2.0,149021.0
52511,53,168.0,3.0,509316.0
52512,53,122.0,4.0,486112.0
52513,53,100.0,3.0,418381.0
52514,53,100.0,3.0,431990.0
52548,60,57.0,2.0,355000.0
52597,49,52.0,1.0,135000.0
52598,40,260.0,5.0,490000.0
52690,2,320.0,5.0,249000.0
52691,34,52.0,3.0,143500.0
52703,18,69.0,3.0,140000.0
52708,28,24.0,1.0,79200.0
52709,26,68.0,2.0,125000.0
52710,39,286.0,5.0,429000.0
52711,39,18.0,1.0,53000.0
52713,56,169.0,6.0,590000.0
52715,44,600.0,8.0,820000.0
52716,45,66.0,3.0,155000.0
52717,49,77.0,3.0,279000.0
52720,54,416.0,6.0,1790000.0
52721,2,225.0,4.0,200000.0
52752,54,64.0,2.0,268000.0
52753,32,220.0,6.0,369000.0
52758,6,44.0,3.0,85000.0
52759,46,70.0,3.0,160000.0
52767,9,22.0,1.0,54000.0
52807,26,98.0,4.0,166900.0
52812,45,141.0,3.0,245000.0
52813,24,117.0,4.0,165000.0
52814,23,46.0,2.0,75000.0
52848,19,46.0,2.0,83400.0
52850,35,270.0,4.0,510000.0
52851,6,48.0,2.0,109000.0
52853,46,36.0,1.0,89500.0
52856,9,27.0,1.0,53000.0
52858,39,65.0,3.0,175000.0
52889,39,36.0,1.0,75000.0
52920,39,270.0,5.0,620000.0
52934,59,81.0,2.0,380000.0
52949,41,30.0,1.0,82000.0
52950,30,205.0,4.0,360000.0
52961,58,98.0,3.0,390000.0
52965,58,70.0,2.0,310000.0
52967,48,50.0,1.0,130084.0
52970,56,42.0,1.0,130000.0
52971,12,43.0,1.0,120000.0
52974,54,26.0,1.0,69500.0
52988,39,63.0,2.0,134800.0
52989,39,74.0,3.0,161400.0
52990,54,58.0,2.0,150000.0
52991,54,52.0,2.0,136000.0
52992,54,77.0,2.0,167000.0
53023,40,42.0,1.0,97000.0
53025,27,65.0,1.0,160000.0
53046,3,34.0,2.0,62000.0
53047,10,90.0,3.0,199000.0
53050,55,100.0,3.0,450000.0
53059,7,33.0,1.0,75500.0
53060,54,235.0,5.0,400000.0
53064,18,40.0,1.0,72000.0
53067,46,36.0,1.0,80000.0
53068,39,176.0,5.0,359500.0
53072,56,41.0,1.0,175000.0
53082,7,55.0,2.0,125000.0
53084,56,33.0,1.0,87000.0
53086,7,55.0,2.0,125000.0
53094,46,53.0,2.0,130000.0
53208,26,42.0,2.0,90000.0
53211,26,47.0,2.0,91000.0
53226,54,280.0,5.0,730000.0
53228,28,280.0,5.0,520000.0
53231,51,80.0,4.0,215000.0
53243,53,76.0,3.0,235000.0
53245,49,76.0,3.0,235000.0
53255,54,64.0,3.0,200000.0
53257,53,64.0,3.0,200000.0
53261,53,300.0,4.0,550000.0
53266,9,95.0,4.0,210000.0
53269,26,43.0,2.0,90000.0
53299,25,47.0,2.0,91000.0
53306,53,158.0,4.0,432000.0
53307,60,67.0,2.0,360000.0
53313,2,162.0,4.0,155000.0
53379,34,524.0,8.0,900000.0
53386,53,197.0,5.0,700000.0
53408,58,55.0,2.0,165000.0
53414,53,45.0,2.0,105000.0
53416,54,194.0,4.0,750000.0
53423,39,225.0,5.0,415000.0
53432,51,290.0,5.0,1200000.0
53438,56,290.0,5.0,1200000.0
53446,54,182.0,4.0,485000.0
53449,52,105.0,3.0,350000.0
53461,54,202.0,5.0,650000.0
53470,54,126.0,4.0,390000.0
53475,54,38.0,2.0,139000.0
53488,53,80.0,4.0,265000.0
53553,28,73.0,3.0,129000.0
53561,13,168.0,1.0,145000.0
53593,53,87.0,3.0,507500.0
53598,56,125.0,4.0,530000.0
53603,27,37.0,2.0,75000.0
53632,13,230.0,2.0,450000.0
53654,26,193.0,6.0,350000.0
53656,53,223.0,5.0,650000.0
53661,26,193.0,4.0,350000.0
53672,9,99.0,4.0,179000.0
53692,54,138.0,4.0,680000.0
53698,39,395.0,6.0,2000000.0
53740,13,1000.0,1.0,1300000.0
53752,13,211.0,5.0,410000.0
53760,53,330.0,6.0,800000.0
53775,51,12.0,2.0,25000.0
53781,50,32.0,1.0,97500.0
53783,53,200.0,5.0,640000.0
53787,53,200.0,4.0,640000.0
53798,54,155.0,1.0,345000.0
53810,28,160.0,4.0,360000.0
53832,54,40.0,1.0,100000.0
53839,51,132.0,3.0,280000.0
53845,13,86.0,1.0,302543.0
53846,51,132.0,4.0,280000.0
53875,54,40.0,1.0,110000.0
53906,34,90.0,4.0,165000.0
53929,46,341.0,5.0,720000.0
53970,53,374.0,5.0,900000.0
54030,53,310.0,4.0,560000.0
54038,54,198.0,5.0,760000.0
54050,48,110.0,3.0,225000.0
54080,53,360.0,5.0,1500000.0
54085,41,32.0,1.0,95000.0
54125,54,74.0,4.0,190000.0
54184,46,185.0,6.0,310000.0
54194,53,143.0,4.0,370000.0
54233,46,93.0,4.0,215000.0
54254,58,35.0,1.0,110000.0
54268,46,160.0,4.0,345000.0
54272,44,360.0,8.0,595000.0
54394,14,172.0,7.0,200000.0
54796,46,53.0,2.0,128500.0
54908,46,28.0,1.0,80000.0
55023,53,158.0,4.0,390000.0
55187,53,400.0,5.0,1200000.0
55198,53,550.0,6.0,1800000.0
55229,54,55.0,2.0,320000.0
55254,56,51.0,2.0,225000.0
55297,54,280.0,4.0,1650000.0
55315,54,372.0,5.0,1450000.0
55375,54,115.0,3.0,625000.0
55489,53,200.0,6.0,1200000.0
55491,49,73.0,3.0,330000.0
55498,51,60.0,2.0,145000.0
55502,60,38.0,1.0,225000.0
55516,54,88.0,3.0,395000.0
55535,53,188.0,5.0,390000.0
55546,54,62.0,2.0,220000.0
55561,53,41.0,1.0,137000.0
55571,60,67.0,2.0,350000.0
55582,60,57.0,2.0,295000.0
55603,46,78.0,2.0,215000.0
55607,53,245.0,5.0,380000.0
55608,53,45.0,1.0,155000.0
55616,53,80.0,3.0,350000.0
55619,54,54.0,2.0,169000.0
55622,58,31.0,1.0,109000.0
55626,54,54.0,2.0,169000.0
55627,49,73.0,3.0,330000.0
55647,53,106.0,4.0,270000.0
55662,46,59.0,1.0,148000.0
55666,3,36.0,1.0,81000.0
55676,60,170.0,3.0,870000.0
55679,3,30.0,1.0,75000.0
55684,48,44.0,1.0,135000.0
55715,46,73.0,2.0,209000.0
55723,46,42.0,1.0,125000.0
55731,46,42.0,1.0,128000.0
55738,50,45.0,2.0,99000.0
55746,53,39.0,1.0,132000.0
55750,53,45.0,1.0,150000.0
55759,54,38.0,1.0,125000.0
55779,46,35.0,1.0,97000.0
55787,54,280.0,4.0,369000.0
55791,46,35.0,1.0,109000.0
55795,46,121.0,4.0,393000.0
55817,49,40.0,1.0,131000.0
55824,3,33.0,1.0,85800.0
55827,3,34.0,1.0,79700.0
55834,56,230.0,6.0,550000.0
55841,30,55.0,3.0,120000.0
55850,9,39.0,2.0,68000.0
55859,11,294.0,7.0,230000.0
55861,54,43.0,1.0,155000.0
55867,54,75.0,2.0,232500.0
